"customer_id","customer_category"
1,"Gold"
2,"Gold"
3,"Gold"
4,"Gold"
5,"Gold"
6,"Gold"
7,"Gold"
8,"Gold"
9,"Gold"
10,"Gold"
11,"Gold"
12,"Silver"
13,"Gold"
14,"Silver"
15,"Gold"
16,"Gold"
17,"Gold"
18,"Silver"
19,"Gold"
20,"Gold"
21,"Gold"
22,"Gold"
23,"Gold"
24,"Gold"
25,"Gold"
26,"Gold"
27,"Gold"
28,"Gold"
29,"Gold"
30,"Gold"
31,"Gold"
32,"Gold"
33,"Gold"
34,"Gold"
35,"Gold"
36,"Gold"
37,"Gold"
38,"Gold"
39,"Gold"
40,"Gold"
41,"Gold"
42,"Gold"
43,"Gold"
44,"Gold"
45,"Gold"
46,"Bronze"
47,"Gold"
48,"Gold"
49,"Gold"
50,"Bronze"
51,"Gold"
52,"Gold"
53,"Gold"
54,"Gold"
55,"Gold"
56,"Bronze"
57,"Gold"
58,"Gold"
59,"Gold"
60,"Gold"
61,"Gold"
62,"Gold"
63,"Gold"
64,"Gold"
65,"Gold"
66,"Silver"
67,"Gold"
68,"Gold"
69,"Gold"
70,"Gold"
71,"Gold"
72,"Gold"
73,"Silver"
74,"Gold"
75,"Gold"
76,"Gold"
77,"Gold"
78,"Gold"
79,"Gold"
80,"Gold"
81,"Gold"
82,"Gold"
83,"Gold"
84,"Gold"
85,"Gold"
86,"Gold"
87,"Gold"
88,"Gold"
89,"Gold"
90,"Bronze"
91,"Gold"
92,"Gold"
93,"Gold"
94,"Silver"
95,"Gold"
96,"Silver"
97,"Gold"
98,"Gold"
99,"Gold"
100,"Gold"
101,"Gold"
102,"Gold"
103,"Gold"
104,"Gold"
105,"Gold"
106,"Gold"
107,"Gold"
108,"Gold"
109,"Gold"
110,"Gold"
111,"Gold"
112,"Gold"
113,"Gold"
114,"Gold"
115,"Gold"
117,"Gold"
118,"Gold"
119,"Silver"
120,"Gold"
121,"Gold"
122,"Gold"
123,"Gold"
124,"Gold"
125,"Gold"
126,"Gold"
127,"Gold"
128,"Gold"
129,"Gold"
130,"Gold"
131,"Gold"
132,"Gold"
133,"Gold"
134,"Gold"
135,"Gold"
136,"Gold"
137,"Gold"
138,"Gold"
139,"Gold"
140,"Gold"
141,"Gold"
142,"Gold"
143,"Bronze"
144,"Silver"
145,"Gold"
146,"Gold"
147,"Gold"
148,"Gold"
149,"Gold"
150,"Gold"
151,"Gold"
152,"Gold"
153,"Gold"
154,"Gold"
155,"Gold"
156,"Gold"
157,"Gold"
158,"Gold"
159,"Gold"
160,"Gold"
161,"Gold"
162,"Gold"
163,"Gold"
164,"Gold"
165,"Silver"
166,"Gold"
167,"Gold"
168,"Gold"
169,"Gold"
170,"Gold"
171,"Gold"
172,"Gold"
173,"Silver"
174,"Gold"
175,"Gold"
176,"Silver"
177,"Gold"
178,"Gold"
179,"Gold"
180,"Gold"
181,"Gold"
182,"Gold"
183,"Gold"
184,"Gold"
185,"Gold"
186,"Silver"
187,"Gold"
188,"Gold"
189,"Gold"
190,"Gold"
191,"Gold"
192,"Gold"
193,"Gold"
194,"Gold"
195,"Gold"
196,"Gold"
197,"Gold"
198,"Gold"
199,"Gold"
200,"Gold"
201,"Gold"
202,"Gold"
203,"Gold"
204,"Gold"
205,"Gold"
206,"Gold"
207,"Gold"
208,"Gold"
209,"Gold"
210,"Gold"
211,"Gold"
212,"Gold"
213,"Gold"
214,"Gold"
215,"Gold"
216,"Gold"
217,"Gold"
218,"Gold"
219,"Gold"
220,"Gold"
221,"Gold"
222,"Gold"
223,"Gold"
224,"Gold"
225,"Gold"
226,"Gold"
227,"Gold"
228,"Gold"
229,"Gold"
230,"Silver"
231,"Gold"
232,"Gold"
233,"Gold"
234,"Gold"
235,"Gold"
237,"Gold"
238,"Gold"
239,"Gold"
240,"Gold"
241,"Gold"
242,"Gold"
243,"Gold"
244,"Gold"
245,"Gold"
246,"Gold"
247,"Gold"
248,"Gold"
249,"Gold"
250,"Gold"
251,"Gold"
252,"Gold"
253,"Gold"
254,"Gold"
256,"Gold"
257,"Gold"
258,"Gold"
259,"Gold"
260,"Gold"
261,"Gold"
262,"Gold"
263,"Gold"
264,"Gold"
265,"Gold"
266,"Gold"
267,"Gold"
269,"Gold"
270,"Gold"
271,"Gold"
272,"Silver"
273,"Gold"
274,"Gold"
275,"Gold"
276,"Gold"
277,"Gold"
278,"Gold"
279,"Gold"
280,"Gold"
281,"Gold"
282,"Gold"
283,"Gold"
284,"Gold"
285,"Gold"
286,"Gold"
287,"Gold"
288,"Gold"
289,"Gold"
290,"Gold"
291,"Gold"
292,"Gold"
293,"Gold"
294,"Gold"
295,"Gold"
296,"Gold"
297,"Gold"
298,"Gold"
299,"Gold"
300,"Gold"
